Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
FMAG,2021-02-04 05:00:00+00:00,19.911262774106888,20.02039337158203,19.863642080944533,20.02039337158203,354700,2021,2,5,Thursday,19.9539,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-05 05:00:00+00:00,20.228731795021464,20.228731795021464,20.03031476068296,20.055116653442383,178500,2021,2,5,Friday,20.1357,20.02039337158203,0.17,1.04,0.05,0.17,-0.05,0,0.0,19.8202,19.62,19.4198,19.2196,19.0194,18.8192,18.619,18.4188,18.2186,18.0184,17.8182,17.6179,17.4177,17.2175,17.0173,16.8171,16.4167,16.2165,16.0163,15.8161,15.6159,15.4157,15.2155,15.0153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-08 05:00:00+00:00,20.218810666469256,20.218810666469256,20.060076282038217,20.12952423095703,76100,2021,2,6,Monday,20.1568,20.055116653442383,0.37,0.82,0.02,0.37,-0.02,0,0.0,19.8546,19.654,19.4535,19.2529,19.0524,18.8518,18.6513,18.4507,18.2502,18.0496,17.8491,17.6485,17.448,17.2474,17.0468,16.8463,16.4452,16.2446,16.0441,15.8435,15.643,15.4424,15.2419,15.0413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-09 05:00:00+00:00,20.1196046125461,20.23865446371495,20.1196046125461,20.18905067443848,56400,2021,2,6,Tuesday,20.1667,20.12952423095703,0.3,-0.05,-0.05,0.3,0.05,0,0.0,19.9282,19.7269,19.5256,19.3243,19.123,18.9218,18.7205,18.5192,18.3179,18.1166,17.9153,17.714,17.5127,17.3114,17.1101,16.9088,16.5062,16.3049,16.1036,15.9023,15.701,15.4997,15.2984,15.0971,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-10 05:00:00+00:00,20.387467074202466,20.387467074202466,20.08984056350034,20.13944435119629,44700,2021,2,6,Wednesday,20.2511,20.18905067443848,-0.25,0.98,-0.49,-0.25,0.49,0,0.0,19.9872,19.7853,19.5834,19.3815,19.1796,18.9777,18.7758,18.5739,18.372,18.1701,17.9683,17.7664,17.5645,17.3626,17.1607,16.9588,16.555,16.3531,16.1512,15.9494,15.7475,15.5456,15.3437,15.1418,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-11 05:00:00+00:00,20.2882604222537,20.30710925691186,20.189050950082954,20.264450073242188,42200,2021,2,6,Thursday,20.2622,20.13944435119629,0.62,0.74,0.25,0.62,-0.25,0,0.0,19.938,19.7367,19.5353,19.3339,19.1325,18.9311,18.7297,18.5283,18.3269,18.1255,17.9241,17.7227,17.5213,17.3199,17.1185,16.9171,16.5143,16.3129,16.1116,15.9102,15.7088,15.5074,15.306,15.1046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-12 05:00:00+00:00,20.22873003122432,20.40730667114257,20.22873003122432,20.40730667114257,39600,2021,2,6,Friday,20.318,20.264450073242188,0.7,-0.18,-0.18,0.7,0.18,0,0.0,20.0618,19.8592,19.6565,19.4539,19.2512,19.0486,18.8459,18.6433,18.4406,18.238,18.0354,17.8327,17.6301,17.4274,17.2248,17.0221,16.6168,16.4142,16.2116,16.0089,15.8063,15.6036,15.401,15.1983,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-16 05:00:00+00:00,20.446991714151714,20.486674361632744,20.288257339701588,20.327939987182617,56100,2021,2,7,Tuesday,20.3875,20.40730667114257,-0.39,0.19,-0.58,-0.39,0.58,0,0.0,20.2032,19.9992,19.7951,19.591,19.3869,19.1829,18.9788,18.7747,18.5706,18.3666,18.1625,17.9584,17.7544,17.5503,17.3462,17.1421,16.734,16.5299,16.3258,16.1218,15.9177,15.7136,15.5096,15.3055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-17 05:00:00+00:00,20.16920857742255,20.250560760498047,20.10968365131988,20.250560760498047,66200,2021,2,7,Wednesday,20.195,20.327939987182617,-0.38,-0.78,-1.07,-0.38,1.07,1,20.1247,20.1247,19.9214,19.7181,19.5148,19.3115,19.1083,18.905,18.7017,18.4984,18.2951,18.0919,17.8886,17.6853,17.482,17.2787,17.0755,16.6689,16.4656,16.2624,16.0591,15.8558,15.6525,15.4492,15.246,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FMAG,2021-02-18 05:00:00+00:00,20.1196046125461,20.208892947054373,20.010474005421933,20.18905067443848,47100,2021,2,7,Thursday,20.132,20.250560760498047,-0.3,-0.65,-1.19,-0.3,1.19,1,20.0481,20.0481,19.8455,19.643,19.4405,19.238,19.0355,18.833,18.6305,18.428,18.2255,18.023,17.8205,17.618,17.4155,17.213,17.0105,16.6055,16.403,16.2004,15.9979,15.7954,15.5929,15.3904,15.1879,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
