Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
UPRO,2009-06-25 04:00:00+00:00,1.0653379314965712,1.1449528476087518,1.0653379314965712,1.1403547525405884,2577600,2009,6,25,Thursday,1.104,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-06-26 04:00:00+00:00,1.1306330481137872,1.1474494730810478,1.113685029873877,1.1344431638717651,13104000,2009,6,25,Friday,1.1316,1.1403547525405884,-0.52,-0.85,-2.34,-0.52,2.34,2,2.2465,1.129,1.1175,1.1061,1.0947,1.0833,1.0719,1.0605,1.0491,1.0377,1.0263,1.0149,1.0035,0.9921,0.9807,0.9693,0.9579,0.9351,0.9237,0.9123,0.9009,0.8895,0.8781,0.8667,0.8553,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-06-29 04:00:00+00:00,1.1429814389140496,1.1692571192570325,1.1269537914822498,1.1666293144226074,8690400,2009,6,26,Monday,1.1515,1.1344431638717651,2.84,0.75,-0.66,2.84,0.66,0,0.0,1.1231,1.1118,1.1004,1.0891,1.0777,1.0664,1.055,1.0437,1.0323,1.021,1.0097,0.9983,0.987,0.9756,0.9643,0.9529,0.9302,0.9189,0.9076,0.8962,0.8849,0.8735,0.8622,0.8508,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-06-30 04:00:00+00:00,1.166629748862989,1.1760889025888996,1.1127654805590224,1.1387782096862793,17128800,2009,6,26,Tuesday,1.1486,1.1666293144226074,-2.39,0.0,-4.62,-2.39,4.62,4,4.5499,1.155,1.1433,1.1316,1.12,1.1083,1.0966,1.085,1.0733,1.0616,1.05,1.0383,1.0266,1.015,1.0033,0.9916,0.98,0.9566,0.945,0.9333,0.9216,0.91,0.8983,0.8866,0.875,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-07-01 04:00:00+00:00,1.1525728922428553,1.1851550342635646,1.147974794310444,1.1509970426559448,12038400,2009,7,26,Wednesday,1.1592,1.1387782096862793,1.07,1.21,0.81,1.07,-0.81,0,0.0,1.1274,1.116,1.1046,1.0932,1.0818,1.0705,1.0591,1.0477,1.0363,1.0249,1.0135,1.0021,0.9907,0.9793,0.968,0.9566,0.9338,0.9224,0.911,0.8996,0.8882,0.8769,0.8655,0.8541,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-07-02 04:00:00+00:00,1.1060661604530737,1.106591067855767,1.0556166390459378,1.0560110807418823,29275200,2009,7,26,Thursday,1.0811,1.1509970426559448,-8.25,-3.9,-8.29,-8.25,8.29,8,8.7936,1.1395,1.128,1.1165,1.105,1.0934,1.0819,1.0704,1.0589,1.0474,1.0359,1.0244,1.0129,1.0014,0.9899,0.9783,0.9668,0.9438,0.9323,0.9208,0.9093,0.8978,0.8863,0.8748,0.8632,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-07-06 04:00:00+00:00,1.0268456232597831,1.0600832561200997,1.0162040418719585,1.0589008331298828,22572000,2009,7,27,Monday,1.0405,1.0560110807418823,0.27,-2.76,-3.77,0.27,3.77,3,3.1047,1.0455,1.0349,1.0243,1.0138,1.0032,0.9927,0.9821,0.9715,0.961,0.9504,0.9398,0.9293,0.9187,0.9082,0.8976,0.887,0.8659,0.8554,0.8448,0.8342,0.8237,0.8131,0.8026,0.792,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-07-07 04:00:00+00:00,1.0537772425339873,1.0564050484682792,0.99294912815094,0.99294912815094,29016000,2009,7,27,Tuesday,1.024,1.0589008331298828,-6.23,-0.48,-6.23,-6.23,6.23,6,6.131,1.0483,1.0377,1.0271,1.0165,1.006,0.9954,0.9848,0.9742,0.9636,0.953,0.9424,0.9318,0.9212,0.9107,0.9001,0.8895,0.8683,0.8577,0.8471,0.8365,0.8259,0.8154,0.8048,0.7942,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-07-08 04:00:00+00:00,1.01226218757842,1.0183055560398826,0.9590542941159822,0.9941317439079284,49824000,2009,7,27,Wednesday,0.9959,0.99294912815094,0.12,1.95,-3.41,0.12,3.41,3,2.9193,0.983,0.9731,0.9632,0.9532,0.9433,0.9334,0.9234,0.9135,0.9036,0.8937,0.8837,0.8738,0.8639,0.8539,0.844,0.8341,0.8142,0.8043,0.7944,0.7844,0.7745,0.7646,0.7546,0.7447,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2009-07-09 04:00:00+00:00,1.0116046922197075,1.0231666348647226,0.9896651465984764,1.0003067255020142,45892800,2009,7,27,Thursday,1.0062,0.9941317439079284,0.62,1.76,-0.45,0.62,0.45,0,0.0,0.9842,0.9742,0.9643,0.9544,0.9444,0.9345,0.9245,0.9146,0.9047,0.8947,0.8848,0.8748,0.8649,0.855,0.845,0.8351,0.8152,0.8052,0.7953,0.7854,0.7754,0.7655,0.7555,0.7456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
